,0
0,transit
1,transit
2,transit
3,transit
4,transit
5,transit
6,transit
7,transit
8,transit
9,transit
10,stable
11,transit
12,transit
13,transit
14,transit
15,transit
16,transit
17,transit
18,transit
19,stable
20,transit
21,transit
22,transit
23,transit
24,transit
25,transit
26,transit
27,transit
28,transit
29,transit
30,transit
31,transit
32,stable
33,transit
34,stable
35,transit
36,stable
37,transit
38,transit
39,transit
40,transit
41,transit
42,transit
43,stable
44,transit
45,transit
46,transit
47,transit
48,transit
49,transit
50,transit
51,transit
52,stable
53,transit
54,transit
55,transit
56,transit
57,transit
58,transit
59,transit
60,transit
61,transit
62,transit
63,transit
64,transit
65,transit
66,transit
67,transit
68,transit
69,transit
70,stable
71,transit
72,stable
73,transit
74,transit
75,transit
76,stable
77,transit
78,transit
79,transit
80,transit
81,transit
82,transit
83,transit
84,transit
85,transit
86,transit
87,stable
88,transit
89,transit
90,transit
91,transit
92,transit
93,transit
94,transit
95,transit
96,transit
97,transit
98,stable
99,transit
100,transit
101,transit
102,transit
103,transit
104,transit
105,transit
106,transit
107,transit
108,transit
109,transit
110,transit
111,transit
112,transit
113,transit
114,transit
115,transit
116,transit
117,transit
118,transit
119,transit
120,transit
121,transit
122,transit
123,transit
124,transit
125,transit
126,transit
127,transit
128,stable
129,transit
130,transit
131,transit
132,transit
133,stable
134,transit
135,transit
136,transit
137,transit
138,transit
139,transit
140,transit
141,transit
142,transit
143,transit
144,stable
145,transit
146,transit
147,transit
148,transit
149,transit
150,transit
151,transit
152,transit
153,transit
154,transit
155,transit
156,transit
157,transit
158,transit
159,transit
160,transit
161,stable
162,transit
163,transit
164,transit
165,transit
166,transit
167,transit
168,transit
169,transit
170,transit
171,transit
172,transit
173,transit
174,transit
175,stable
176,transit
177,transit
178,transit
179,transit
180,transit
181,transit
182,stable
183,stable
184,transit
185,transit
186,transit
187,transit
188,transit
189,transit
190,transit
191,transit
192,transit
193,transit
194,transit
195,transit
196,transit
197,transit
198,stable
199,transit
200,transit
201,transit
202,transit
203,transit
204,transit
205,transit
206,transit
207,transit
208,transit
209,stable
210,transit
211,transit
212,transit
213,transit
214,transit
215,transit
216,transit
217,transit
218,stable
219,transit
220,transit
221,transit
222,stable
223,transit
224,transit
225,transit
226,transit
227,stable
228,transit
229,transit
230,transit
231,transit
232,transit
233,transit
234,transit
235,transit
236,transit
237,transit
238,transit
239,transit
240,transit
241,transit
242,transit
243,transit
244,transit
245,stable
246,transit
247,transit
248,transit
249,transit
250,transit
251,transit
252,transit
253,transit
254,transit
255,transit
256,transit
257,transit
258,transit
259,transit
260,transit
261,transit
262,transit
263,stable
264,transit
265,transit
266,stable
267,transit
268,transit
269,transit
270,transit
271,transit
272,transit
273,stable
274,transit
275,transit
276,transit
277,transit
278,transit
279,transit
280,transit
281,stable
282,transit
283,transit
284,transit
285,transit
286,transit
287,transit
288,transit
289,transit
290,transit
291,transit
292,transit
293,transit
294,transit
295,transit
296,transit
297,transit
298,stable
299,transit
300,transit
301,transit
302,transit
303,transit
304,transit
305,transit
306,transit
307,transit
308,transit
309,transit
310,transit
311,transit
312,transit
313,stable
314,transit
315,transit
316,transit
317,transit
318,transit
319,transit
320,transit
321,stable
322,transit
323,transit
324,transit
325,transit
326,transit
327,transit
328,transit
329,stable
330,transit
331,stable
332,transit
333,transit
334,transit
335,transit
336,transit
337,transit
338,transit
339,transit
340,transit
341,transit
342,transit
343,transit
344,transit
345,transit
346,transit
347,transit
348,stable
349,transit
350,transit
351,transit
352,transit
353,stable
354,transit
355,transit
356,transit
357,transit
358,transit
359,transit
360,transit
361,transit
362,transit
363,stable
364,transit
365,transit
366,transit
367,transit
368,transit
369,transit
370,transit
371,stable
372,transit
373,transit
374,transit
375,transit
376,transit
377,transit
378,transit
379,transit
380,transit
381,transit
382,transit
383,transit
384,stable
385,transit
386,transit
387,transit
388,transit
389,transit
390,transit
391,transit
392,transit
393,transit
394,transit
395,transit
396,transit
397,transit
398,transit
399,transit
400,transit
401,transit
402,transit
403,transit
404,transit
405,stable
406,transit
407,transit
408,transit
409,transit
410,stable
411,transit
412,transit
413,transit
414,transit
415,transit
416,transit
417,transit
418,transit
419,transit
420,transit
421,transit
422,transit
423,transit
424,stable
425,transit
426,transit
427,transit
428,transit
429,stable
430,transit
431,transit
432,transit
433,transit
434,transit
435,transit
436,transit
437,transit
438,transit
439,transit
440,transit
441,transit
442,transit
443,transit
444,transit
445,transit
446,transit
447,transit
448,transit
449,transit
450,transit
451,transit
452,transit
453,transit
454,stable
455,transit
456,transit
457,transit
458,transit
459,transit
460,transit
461,transit
462,transit
463,transit
464,stable
465,transit
466,transit
467,transit
468,transit
469,transit
470,transit
471,transit
472,transit
473,transit
474,stable
475,transit
476,transit
477,transit
478,transit
479,transit
480,transit
481,transit
482,transit
483,transit
484,transit
485,transit
486,transit
487,stable
488,transit
489,transit
